"","Card.Number","Date","flow","day"
"4826","3397008952",2017-09-20,"Gulf Host-Yummex",4
"4827","3397008958",2017-09-18,"Yummex",2
"4828","3397008960",2017-09-20,"Gulf Host",4
"4829","3397008965",2017-09-19,"Yummex",3
"4830","3397008970",2017-09-19,"Yummex",3
"4831","3397008978",2017-09-19,"Yummex",3
"4832","3397008982",2017-09-19,"Yummex",3
"4833","3397008982",2017-09-20,"Gulf Host",4
"4834","3397008986",2017-09-18,"Yummex",2
"4835","3397008990",2017-09-19,"Yummex",3
"4836","3397008999",2017-09-20,"Gulf Host",4
"4837","3397009010",2017-09-19,"Crossover into Hotel / Leisure-Seafex",3
"4838","3397009012",2017-09-18,"Gulf Host",2
"4839","3397009015",2017-09-19,"Yummex-Gulf Host",3
"4840","3397009016",2017-09-19,"Crossover into Hotel / Leisure",3
"4841","3397009029",2017-09-19,"Crossover into Hotel / Leisure",3
"4842","3397009030",2017-09-19,"Crossover into Hotel / Leisure",3
"4843","3397009034",2017-09-19,"Gulf Host",3
"4844","3397009034",2017-09-20,"Yummex-Gulf Host",4
"4845","3397009039",2017-09-18,"Yummex",2
"4846","3397009045",2017-09-19,"Yummex",3
"4847","3397009059",2017-09-18,"Yummex-Gulf Host",2
"4848","3397009066",2017-09-18,"Yummex-The Specialty Food Festival",2
"4849","3397009068",2017-09-20,"Yummex",4
"4850","3397009083",2017-09-19,"Crossover into Hotel / Leisure-Seafex",3
"4851","3397009089",2017-09-19,"Crossover into Hotel / Leisure",3
"4852","3397009092",2017-09-18,"Gulf Host-Yummex",2
"4853","3397009101",2017-09-18,"Yummex-Gulf Host",2
"4854","3397009106",2017-09-18,"Yummex",2
"4855","3397009108",2017-09-20,"Yummex",4
"4856","3397009111",2017-09-19,"Crossover into Hotel / Leisure",3
"4857","3397009113",2017-09-19,"Yummex-Seafex",3
"4858","3397009115",2017-09-18,"Yummex",2
"4859","3397009115",2017-09-19,"Yummex",3
"4860","3397009122",2017-09-18,"Yummex",2
"4861","3397009124",2017-09-20,"Yummex",4
"4862","3397009127",2017-09-19,"Crossover into Hotel / Leisure",3
"4863","3397009130",2017-09-18,"Yummex",2
"4864","3397009130",2017-09-19,"Yummex",3
"4865","3397009145",2017-09-18,"Yummex",2
"4866","3397009147",2017-09-19,"Gulf Host-Yummex-Seafex",3
"4867","3397009150",2017-09-19,"Gulf Host",3
"4868","3397009150",2017-09-20,"Yummex-Gulf Host",4
"4869","3397009155",2017-09-19,"Gulf Host",3
"4870","3397009161",2017-09-18,"Yummex",2
"4871","3397009173",2017-09-18,"Gulf Host",2
"4872","3397009180",2017-09-19,"Yummex",3
"4873","3397009196",2017-09-19,"Crossover into Hotel / Leisure",3
"4874","3397009204",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4875","3397009208",2017-09-20,"Yummex",4
"4876","3397009212",2017-09-20,"Yummex",4
"4877","3397009221",2017-09-20,"Yummex",4
"4878","3397009243",2017-09-20,"Yummex-Gulf Host",4
"4879","3397009248",2017-09-18,"Gulf Host",2
"4880","3397009249",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4881","3397009270",2017-09-18,"Gulf Host",2
"4882","3397009270",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4883","3397009271",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"4884","3397009271",2017-09-20,"Yummex",4
"4885","3397009274",2017-09-18,"Yummex",2
"4886","3397009275",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4887","3397009279",2017-09-19,"Yummex",3
"4888","3397009290",2017-09-18,"Gulf Host",2
"4889","3397009295",2017-09-19,"Yummex",3
"4890","3397009304",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4891","3397009304",2017-09-20,"Gulf Host",4
"4892","3397009312",2017-09-19,"Yummex",3
"4893","3397009319",2017-09-18,"Yummex",2
"4894","3397009319",2017-09-20,"Gulf Host-Yummex",4
"4895","3397009326",2017-09-20,"Yummex",4
"4896","3397009330",2017-09-18,"Yummex",2
"4897","3397009330",2017-09-20,"Gulf Host-Yummex",4
"4898","3397009335",2017-09-19,"Crossover into Hotel / Leisure",3
"4899","3397009343",2017-09-20,"Yummex",4
"4900","3397009352",2017-09-20,"Gulf Host-Yummex",4
"4901","3397009358",2017-09-19,"Crossover into Hotel / Leisure",3
"4902","3397009360",2017-09-18,"Gulf Host-Yummex",2
"4903","3397009372",2017-09-19,"Crossover into Hotel / Leisure",3
"4904","3397009374",2017-09-19,"Crossover into Hotel / Leisure",3
"4905","3397009391",2017-09-19,"Gulf Host",3
"4906","3397009391",2017-09-20,"Gulf Host",4
"4907","3397009404",2017-09-19,"Crossover into Hotel / Leisure",3
"4908","3397009405",2017-09-20,"Yummex",4
"4909","3397009429",2017-09-19,"Gulf Host",3
"4910","3397009429",2017-09-20,"Gulf Host-Yummex",4
"4911","3397009439",2017-09-20,"Gulf Host-Yummex-Seafex",4
"4912","3397009455",2017-09-18,"Gulf Host",2
"4913","3397009455",2017-09-19,"Gulf Host",3
"4914","3397009462",2017-09-19,"Gulf Host",3
"4915","3397009474",2017-09-19,"Yummex",3
"4916","3397009475",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4917","3397009492",2017-09-18,"Gulf Host",2
